#  Last update: January 16 2024, 11:54:21
#  "IN": Internal residue; "NT": N-terminal residues; "CT": C-terminal residues
#  "Y": Available parameter; "-": Missing Parameter
#
#                                                     DEFAULT
#                            Swiss           Sannerlab (gaff)            Sannerlab_AMBER
#  NSTname            IN   NT   CT               IN   NT   CT               IN   NT   CT
189    NIY             Y    -    -                Y    Y    Y                -    -    -
190    PPN             Y    -    -                Y    Y    Y                -    -    -
191    SME             Y    -    -                Y    Y    Y                -    -    -
192   THIC             Y    -    -                Y    Y    Y                -    -    -
#
193    0BN             Y    -    -                Y    -    -                -    -    -
194   4HMP             Y    -    -                Y    -    -                -    -    -
195    AGM             Y    -    -                Y    -    -                -    -    -
196    CIR             Y    -    -                Y    -    -                -    -    -
197    NAL             Y    -    -                Y    -    -                -    -    -
198   QU33             Y    -    -                Y    -    -                -    -    -
199   QX32             Y    -    -                Y    -    -                -    -    -
200   SEP2             Y    -    -                Y    -    -                -    -    -
201    SLZ             Y    -    -                Y    -    -                -    -    -
202    SYM             Y    -    -                Y    -    -                -    -    -
#
203    KYN             Y    -    -                -    -    -                -    -    -
204   PTR2             Y    -    -                -    -    -                -    -    -
205   STYA             Y    -    -                -    -    -                -    -    -
#
206    CSE             -    -    -                -    -    -                -    -    -
207    IYR             -    -    -                -    -    -                -    -    -
208    PBF             -    -    -                -    -    -                -    -    -
209    PHI             -    -    -                -    -    -                -    -    -
210    TYI             -    -    -                -    -    -                -    -    -
#
#  -------------------------------------------------------------------------------------
#  Total             202    0    0              202  192  192              182  182  182
#  Remaining           8  210  210                8   18   18               28   28   28
